,"CC Hard, k=4"
TCGA-26-6173,2
TCGA-26-6174,2
TCGA-26-A7UX,3
TCGA-27-1830,3
TCGA-27-1831,2
TCGA-27-1832,2
TCGA-27-1833,2
TCGA-27-1834,3
TCGA-27-1835,4
TCGA-27-1836,4
TCGA-27-1837,3
TCGA-27-1838,3
TCGA-27-2518,2
TCGA-27-2519,4
TCGA-27-2521,4
TCGA-27-2523,2
TCGA-27-2524,3
TCGA-27-2526,3
TCGA-27-2527,2
TCGA-27-2528,2
TCGA-28-1745,3
TCGA-28-1746,4
TCGA-28-1747,2
TCGA-28-1749,3
TCGA-28-1750,3
TCGA-28-1751,2
TCGA-28-1752,2
TCGA-28-1753,4
TCGA-28-1755,2
TCGA-28-1757,2
TCGA-28-1760,2
TCGA-28-2499,2
TCGA-28-2501,2
TCGA-28-2502,3
TCGA-28-2506,2
TCGA-28-2509,4
TCGA-28-2510,2
TCGA-28-2513,2
TCGA-28-2514,2
TCGA-28-5204,2
TCGA-28-5207,4
TCGA-28-5208,1
TCGA-28-5209,3
TCGA-28-5211,2
TCGA-28-5213,2
TCGA-28-5214,2
TCGA-28-5215,4
TCGA-28-5216,4
TCGA-28-5218,2
TCGA-28-5219,4
TCGA-28-5220,2
TCGA-28-6450,1
TCGA-32-1970,4
TCGA-32-1976,3
TCGA-32-1977,3
TCGA-32-1979,2
TCGA-32-1980,1
TCGA-32-1982,3
TCGA-32-1986,1
TCGA-32-1991,3
TCGA-32-2491,4
TCGA-32-2494,2
TCGA-32-2495,3
TCGA-32-2615,2
TCGA-32-2616,4
TCGA-32-2632,2
TCGA-32-2634,3
TCGA-32-2638,2
TCGA-32-4208,4
TCGA-32-4209,2
TCGA-32-4210,3
TCGA-32-4211,3
TCGA-32-4213,3
TCGA-32-4719,2
TCGA-32-5222,3
TCGA-41-2571,3
TCGA-41-2572,2
TCGA-41-2573,3
TCGA-41-2575,4
TCGA-41-3392,1
TCGA-41-3393,2
TCGA-41-3915,4
TCGA-41-4097,3
TCGA-41-5651,2
TCGA-41-6646,1
TCGA-4W-AA9R,4
TCGA-4W-AA9S,2
TCGA-4W-AA9T,2
TCGA-74-6573,4
TCGA-74-6575,2
TCGA-74-6577,3
TCGA-74-6578,2
TCGA-74-6581,2
TCGA-74-6584,2
TCGA-76-4925,4
TCGA-76-4926,2
TCGA-76-4927,3
TCGA-76-4928,2
TCGA-76-4929,4
TCGA-76-4931,3
TCGA-76-4932,2
TCGA-76-4934,4
TCGA-76-4935,3
TCGA-76-6191,3
TCGA-76-6192,3
TCGA-76-6193,4
TCGA-76-6280,2
TCGA-76-6282,2
TCGA-76-6283,4
TCGA-76-6285,2
TCGA-76-6286,4
TCGA-76-6656,3
TCGA-76-6657,3
TCGA-76-6660,4
TCGA-76-6661,2
TCGA-76-6662,4
TCGA-76-6663,1
TCGA-76-6664,4
TCGA-81-5910,3
TCGA-81-5911,3
TCGA-87-5896,2
TCGA-OX-A56R,3
TCGA-RR-A6KA,2
TCGA-RR-A6KB,2
TCGA-RR-A6KC,2
