,"CC Hard, k=3"
TCGA-02-0047,2
TCGA-02-0055,1
TCGA-02-2483,2
TCGA-02-2485,2
TCGA-02-2486,2
TCGA-06-0125,2
TCGA-06-0129,2
TCGA-06-0130,1
TCGA-06-0132,2
TCGA-06-0141,2
TCGA-06-0157,3
TCGA-06-0158,2
TCGA-06-0168,2
TCGA-06-0174,2
TCGA-06-0184,2
TCGA-06-0187,2
TCGA-06-0190,1
TCGA-06-0210,3
TCGA-06-0211,2
TCGA-06-0219,2
TCGA-06-0238,3
TCGA-06-0644,2
TCGA-06-0645,2
TCGA-06-0646,2
TCGA-06-0649,2
TCGA-06-0686,1
TCGA-06-0743,1
TCGA-06-0744,1
TCGA-06-0745,1
TCGA-06-0747,1
TCGA-06-0749,2
TCGA-06-0750,2
TCGA-06-0878,2
TCGA-06-0882,1
TCGA-06-1804,2
TCGA-06-2557,2
TCGA-06-2558,3
TCGA-06-2559,3
TCGA-06-2561,1
TCGA-06-2562,1
TCGA-06-2563,2
TCGA-06-2564,1
TCGA-06-2565,2
TCGA-06-2567,2
TCGA-06-2569,2
TCGA-06-2570,2
TCGA-06-5408,2
TCGA-06-5410,2
TCGA-06-5411,2
TCGA-06-5412,2
TCGA-06-5413,1
TCGA-06-5414,2
TCGA-06-5415,1
TCGA-06-5416,2
TCGA-06-5417,2
TCGA-06-5418,2
TCGA-06-5856,2
TCGA-06-5858,2
TCGA-06-5859,2
TCGA-08-0386,2
TCGA-12-0616,1
TCGA-12-0618,3
TCGA-12-0619,2
TCGA-12-0821,2
TCGA-12-1597,3
TCGA-12-3650,2
TCGA-12-3652,2
TCGA-12-3653,2
TCGA-12-5295,1
TCGA-12-5299,2
TCGA-14-0781,2
TCGA-14-0787,2
TCGA-14-0789,2
TCGA-14-0790,3
TCGA-14-0817,1
TCGA-14-0871,2
TCGA-14-1034,1
TCGA-14-1823,1
TCGA-14-1825,1
TCGA-14-1829,2
TCGA-14-2554,1
TCGA-15-0742,2
TCGA-16-0846,2
TCGA-16-1045,1
TCGA-19-1390,1
TCGA-19-1787,1
TCGA-19-2619,2
TCGA-19-2620,2
TCGA-19-2624,2
TCGA-19-2625,2
TCGA-19-2629,2
TCGA-19-4065,2
TCGA-19-5960,1
TCGA-26-1442,2
TCGA-26-5132,1
TCGA-26-5133,2
TCGA-26-5134,2
TCGA-26-5135,3
TCGA-26-5136,2
TCGA-26-5139,1
TCGA-27-1830,1
TCGA-27-1831,2
TCGA-27-1832,2
TCGA-27-1834,2
TCGA-27-1835,3
TCGA-27-1837,2
TCGA-27-2519,2
TCGA-27-2521,2
TCGA-27-2523,1
TCGA-27-2524,2
TCGA-27-2526,2
TCGA-27-2528,3
TCGA-28-1747,2
TCGA-28-1753,1
TCGA-28-2499,2
TCGA-28-2509,2
TCGA-28-2510,2
TCGA-28-2513,1
TCGA-28-2514,2
TCGA-28-5204,1
TCGA-28-5207,2
TCGA-28-5208,2
TCGA-28-5209,1
TCGA-28-5213,3
TCGA-28-5215,2
TCGA-28-5216,1
TCGA-28-5218,2
TCGA-28-5220,2
TCGA-32-1970,1
TCGA-32-1980,1
TCGA-32-1982,1
TCGA-32-2615,2
TCGA-32-2616,2
TCGA-32-2632,3
TCGA-32-2634,2
TCGA-32-2638,2
TCGA-32-4213,1
TCGA-32-5222,3
TCGA-41-2571,3
TCGA-41-2572,1
TCGA-41-3915,2
TCGA-41-4097,1
TCGA-41-5651,3
TCGA-76-4925,2
TCGA-76-4926,1
TCGA-76-4927,2
TCGA-76-4928,2
TCGA-76-4929,2
TCGA-76-4931,1
TCGA-76-4932,2
