,"CC Hard, k=5"
TCGA-02-0003,4
TCGA-02-0033,3
TCGA-02-0047,2
TCGA-02-0055,3
TCGA-02-2466,4
TCGA-02-2470,5
TCGA-02-2483,3
TCGA-02-2485,4
TCGA-02-2486,2
TCGA-06-0119,2
TCGA-06-0122,2
TCGA-06-0124,5
TCGA-06-0125,4
TCGA-06-0126,2
TCGA-06-0128,3
TCGA-06-0129,3
TCGA-06-0130,3
TCGA-06-0132,1
TCGA-06-0137,2
TCGA-06-0140,1
TCGA-06-0141,2
TCGA-06-0142,4
TCGA-06-0145,2
TCGA-06-0151,1
TCGA-06-0152,1
TCGA-06-0154,4
TCGA-06-0155,5
TCGA-06-0157,5
TCGA-06-0158,4
TCGA-06-0166,5
TCGA-06-0168,5
TCGA-06-0169,4
TCGA-06-0171,1
TCGA-06-0173,2
TCGA-06-0174,1
TCGA-06-0184,3
TCGA-06-0185,4
TCGA-06-0187,5
TCGA-06-0188,5
TCGA-06-0189,3
TCGA-06-0190,5
TCGA-06-0192,5
TCGA-06-0195,3
TCGA-06-0209,1
TCGA-06-0210,3
TCGA-06-0211,4
TCGA-06-0213,5
TCGA-06-0214,4
TCGA-06-0216,5
TCGA-06-0219,1
TCGA-06-0221,3
TCGA-06-0237,3
TCGA-06-0238,3
TCGA-06-0241,3
TCGA-06-0644,5
TCGA-06-0645,1
TCGA-06-0646,2
TCGA-06-0648,2
TCGA-06-0649,1
TCGA-06-0650,5
TCGA-06-0686,1
TCGA-06-0743,5
TCGA-06-0744,3
TCGA-06-0745,2
TCGA-06-0747,2
TCGA-06-0749,5
TCGA-06-0750,4
TCGA-06-0875,5
TCGA-06-0876,5
TCGA-06-0877,1
TCGA-06-0878,1
TCGA-06-0879,4
TCGA-06-0881,4
TCGA-06-0882,5
TCGA-06-0939,1
TCGA-06-1084,5
TCGA-06-1087,3
TCGA-06-1800,3
TCGA-06-1801,5
TCGA-06-1802,4
TCGA-06-1804,4
TCGA-06-1805,3
TCGA-06-1806,2
TCGA-06-2557,3
TCGA-06-2558,5
TCGA-06-2559,5
TCGA-06-2561,4
TCGA-06-2562,2
TCGA-06-2563,4
TCGA-06-2564,1
TCGA-06-2565,5
TCGA-06-2566,2
TCGA-06-2567,4
TCGA-06-2569,3
TCGA-06-2570,3
TCGA-06-5408,2
TCGA-06-5410,2
TCGA-06-5411,5
TCGA-06-5412,5
TCGA-06-5413,2
TCGA-06-5414,2
TCGA-06-5415,1
TCGA-06-5416,3
TCGA-06-5417,3
TCGA-06-5418,5
TCGA-06-5856,4
TCGA-06-5858,3
TCGA-06-5859,2
TCGA-06-6388,2
TCGA-06-6389,3
TCGA-06-6390,1
TCGA-06-6391,2
TCGA-06-6693,4
TCGA-06-6694,3
TCGA-06-6695,4
TCGA-06-6697,2
TCGA-06-6698,3
TCGA-06-6699,2
TCGA-06-6700,1
TCGA-06-6701,3
TCGA-06-A5U0,3
TCGA-06-A5U1,1
TCGA-06-A6S0,1
TCGA-06-A6S1,4
TCGA-06-A7TK,1
TCGA-06-A7TL,3
TCGA-08-0386,3
TCGA-12-0615,1
TCGA-12-0616,4
TCGA-12-0618,5
TCGA-12-0619,3
TCGA-12-0656,5
TCGA-12-0657,4
TCGA-12-0662,3
TCGA-12-0670,4
TCGA-12-0688,1
TCGA-12-0691,4
TCGA-12-0692,2
TCGA-12-0707,5
TCGA-12-0773,3
TCGA-12-0775,4
TCGA-12-0778,2
TCGA-12-0818,3
TCGA-12-0819,1
TCGA-12-0820,2
TCGA-12-0821,2
TCGA-12-0822,2
TCGA-12-0826,2
TCGA-12-0827,3
TCGA-12-0828,5
TCGA-12-0829,4
TCGA-12-1088,3
TCGA-12-1089,5
TCGA-12-1092,5
TCGA-12-1093,5
TCGA-12-1597,5
TCGA-12-1598,5
TCGA-12-1599,2
TCGA-12-1600,3
TCGA-12-1602,1
TCGA-12-3644,3
TCGA-12-3646,2
TCGA-12-3648,1
