,"CC Hard, k=3"
TCGA-02-0003,3
TCGA-02-0033,3
TCGA-02-0047,3
TCGA-02-0055,2
TCGA-02-2466,3
TCGA-02-2470,3
TCGA-02-2483,3
TCGA-02-2485,3
TCGA-02-2486,3
TCGA-06-0119,2
TCGA-06-0122,2
TCGA-06-0124,3
TCGA-06-0125,3
TCGA-06-0126,2
TCGA-06-0128,3
TCGA-06-0129,3
TCGA-06-0130,2
TCGA-06-0132,3
TCGA-06-0137,2
TCGA-06-0140,3
TCGA-06-0141,3
TCGA-06-0142,3
TCGA-06-0145,2
TCGA-06-0151,3
TCGA-06-0152,3
TCGA-06-0154,3
TCGA-06-0155,2
TCGA-06-0157,2
TCGA-06-0158,3
TCGA-06-0166,3
TCGA-06-0168,3
TCGA-06-0169,3
TCGA-06-0171,2
TCGA-06-0173,3
TCGA-06-0174,3
TCGA-06-0184,3
TCGA-06-0185,2
TCGA-06-0187,3
TCGA-06-0188,2
TCGA-06-0189,3
TCGA-06-0190,2
TCGA-06-0192,3
TCGA-06-0195,2
TCGA-06-0209,2
TCGA-06-0210,3
TCGA-06-0211,3
TCGA-06-0213,3
TCGA-06-0214,3
TCGA-06-0216,2
TCGA-06-0219,3
TCGA-06-0221,2
TCGA-06-0237,3
TCGA-06-0238,3
TCGA-06-0241,3
TCGA-06-0644,3
TCGA-06-0645,3
TCGA-06-0646,3
TCGA-06-0648,2
TCGA-06-0649,3
TCGA-06-0650,3
TCGA-06-0686,2
TCGA-06-0743,2
TCGA-06-0744,2
TCGA-06-0745,2
TCGA-06-0747,2
TCGA-06-0749,3
TCGA-06-0750,3
TCGA-06-0875,3
TCGA-06-0876,3
TCGA-06-0877,2
TCGA-06-0878,3
TCGA-06-0879,2
TCGA-06-0881,2
TCGA-06-0882,2
TCGA-06-0939,2
TCGA-06-1084,1
TCGA-06-1087,3
TCGA-06-1800,2
TCGA-06-1801,1
TCGA-06-1802,1
TCGA-06-1804,3
TCGA-06-1805,1
TCGA-06-1806,3
TCGA-06-2557,3
TCGA-06-2558,3
TCGA-06-2559,3
TCGA-06-2561,2
TCGA-06-2562,2
TCGA-06-2563,3
TCGA-06-2564,2
TCGA-06-2565,3
TCGA-06-2566,1
TCGA-06-2567,3
TCGA-06-2569,3
TCGA-06-2570,3
TCGA-06-5408,3
TCGA-06-5410,3
TCGA-06-5411,3
TCGA-06-5412,3
TCGA-06-5413,2
TCGA-06-5414,3
TCGA-06-5415,2
TCGA-06-5416,1
TCGA-06-5417,3
TCGA-06-5418,3
TCGA-06-5856,3
TCGA-06-5858,1
TCGA-06-5859,3
TCGA-06-6388,3
TCGA-06-6389,3
TCGA-06-6390,2
TCGA-06-6391,3
TCGA-06-6693,3
TCGA-06-6694,3
TCGA-06-6695,3
